Year,Value,Season,stat_area,Indicator,Value_var
1998,-5.629081265495741,summer,511-513,mcc,0.5728323976405607
1999,-4.940019112807405,summer,511-513,mcc,5.17260197433763
2000,7.869374610586657,summer,511-513,mcc,30.13697325857707
2001,1.0442904206140409,summer,511-513,mcc,37.710044683954514
2002,-3.3812855666235375,summer,511-513,mcc,2.766511704643654
2003,-6.2566678681178125,summer,511-513,mcc,33.23992634574368
2004,2.5387452323849207,summer,511-513,mcc,23.10979715913265
2005,1.212104664490478,summer,511-513,mcc,5.216123458284952
2006,2.3408949299473245,summer,511-513,mcc,12.136239407341037
2007,10.077975753789856,summer,511-513,mcc,50.24877262578986
2008,8.072018060375376,summer,511-513,mcc,32.408281985181766
2009,-0.07174223311106587,summer,511-513,mcc,25.979125025674247
2010,5.084878657180773,summer,511-513,mcc,0.7970927473296371
2011,-9.030131927834557,summer,511-513,mcc,1.6433775693708796
2012,-4.245619373475079,summer,511-513,mcc,5.209359066478359
2013,-3.164040730588695,summer,511-513,mcc,16.5743141707079
2014,-3.220810199193649,summer,511-513,mcc,10.246087259135985
2015,-3.5658734431433907,summer,511-513,mcc,5.428054470399128
2016,-7.383663101415203,summer,511-513,mcc,1.5145487212868312
1980,-2.3989768285449786,winter,511-513,mcc,3.3909877645527624
1981,-8.873860737342644,winter,511-513,mcc,43.625378087606
1982,-5.992707691572918,winter,511-513,mcc,206.61055144017024
1983,-6.936950873185741,winter,511-513,mcc,45.47489773336573
1984,-13.267767636401784,winter,511-513,mcc,1.430876257007983
1985,-14.736980267327601,winter,511-513,mcc,37.2303652478766
1986,-15.75342886767715,winter,511-513,mcc,42.89685592317779
1987,-16.042786085551427,winter,511-513,mcc,3.5968109682431413
1988,-18.05728373617524,winter,511-513,mcc,49.70279972702031
1989,-12.77309141360768,winter,511-513,mcc,2.1277397060229246
1990,-19.31828520658129,winter,511-513,mcc,0.991571290811285
1991,-10.310414587088696,winter,511-513,mcc,1.2851971990054505
1992,-12.626198681773536,winter,511-513,mcc,33.842864737877896
1993,-3.288979348137157,winter,511-513,mcc,45.16455708399814
1994,-4.5189328793987364,winter,511-513,mcc,37.41243914802977
1995,2.3948891252269418,winter,511-513,mcc,27.19531434918088
1996,7.448196220145123,winter,511-513,mcc,104.2508209954981
1997,-5.503259553375509,winter,511-513,mcc,49.89166925229098
1998,16.614712047748647,winter,511-513,mcc,17.171236360960748
1999,-3.582256745713269,winter,511-513,mcc,32.28551855999857
2000,-2.4428398056589518,winter,511-513,mcc,33.186196105125696
2001,1.4977348417731762,winter,511-513,mcc,75.97489131277827
2002,3.901994026204753,winter,511-513,mcc,12.719760909514966
2003,8.080468232526382,winter,511-513,mcc,56.382655163729815
2004,6.927367497108808,winter,511-513,mcc,6.6435497759681255
2005,4.856570328897555,winter,511-513,mcc,12.003616155044169
2006,0.8827426186823227,winter,511-513,mcc,14.43617677113805
2007,-6.795259487754462,winter,511-513,mcc,81.60601068516247
2008,8.222057941254391,winter,511-513,mcc,61.32340202416611
2009,4.234750850913743,winter,511-513,mcc,44.52506667829158
2010,13.634129036605263,winter,511-513,mcc,82.65930800149775
2011,3.5718457607681593,winter,511-513,mcc,18.89197458685813
2012,-17.815283622625227,winter,511-513,mcc,3.627302428243775
2013,-6.991847299844735,winter,511-513,mcc,45.378658923138396
2014,-8.713986986886072,winter,511-513,mcc,61.2431985555544
2015,-6.130450176047237,winter,511-513,mcc,49.32300986218122
2016,-1.9038896053635141,winter,511-513,mcc,41.39073892038044
2017,-12.352174645623796,winter,511-513,mcc,NA
