Year,Season,Indicator,Value,Value_var,stat_area
1987,summer,fvcom_sss,0.05218146290014427,0.8369176272149786,511-513
1987,winter,fvcom_bs,0.10863683290474943,0.8711104756567695,511-513
1987,winter,fvcom_sss,0.1814748191123367,1.200601394399287,511-513
1988,all,fvcom_bs,0.5083625847268242,1.0043125457981585,511-513
1988,all,fvcom_sss,0.6181422833001451,1.3758849471717487,511-513
1988,fall,fvcom_bs,0.3518296557785532,0.8675481026648624,511-513
1988,fall,fvcom_sss,0.4670732492829674,1.2924965417887415,511-513
1988,spring,fvcom_bs,0.6886177992972471,1.2571836550399587,511-513
1988,spring,fvcom_sss,0.8763508877738537,2.1119838576515737,511-513
1988,summer,fvcom_bs,0.6012214150481475,0.8966100144717708,511-513
1988,summer,fvcom_sss,0.8114793225169625,0.8492606794454975,511-513
