Year,Season,Indicator,Value,stat_area,Value_var
1987,winter,oisst,-0.02550627799425724,512,0.1838270064810052
1987,winter,oisst,0.019191665119594997,513,0.16085615283681104
1988,winter,oisst,-1.0569185954680003,511,0.2177603100237612
1988,winter,oisst,-0.9528923445322043,512,0.3548879339910138
1988,winter,oisst,-0.6220520565579662,513,0.17568985232571602
1989,winter,oisst,-0.5092128219767513,511,0.19750984885471515
1989,winter,oisst,-0.2599169045254804,512,0.16908285278630983
1989,winter,oisst,-0.19543333064626764,513,0.314325879169491
1990,winter,oisst,-0.6172641022592529,511,0.5493079126869339
1990,winter,oisst,-0.653269552493441,512,0.6059365633162394
1990,winter,oisst,-0.9131786846452289,513,0.26700915259037583
1991,winter,oisst,-0.47887094693306165,511,0.264929105218872
1991,winter,oisst,-0.3306270457696224,512,0.1959825456578365
1991,winter,oisst,-0.18063240238913783,513,0.20194807296194411
1992,winter,oisst,-0.6292854725861086,511,0.29815640918917685
1992,winter,oisst,-0.4289124215896541,512,0.17445980976874031
1992,winter,oisst,-0.09207953900207967,513,0.14513455254589355
1993,winter,oisst,-0.32951196279281225,511,0.1439567487924936
1993,winter,oisst,-0.22937583646912504,512,0.21358390460260773
1993,winter,oisst,-0.20841481569740508,513,0.15997710393924028
1994,winter,oisst,0.17659912700327032,511,0.21893952443907336
1994,winter,oisst,0.028131397046904632,512,0.26100540047214016
1994,winter,oisst,-0.8030768352526205,513,0.31155619580213834
1995,winter,oisst,-0.5466914541700967,511,0.6375030890529367
1995,winter,oisst,-0.16868501792207433,512,0.5404359403776754
1995,winter,oisst,0.17589999150346827,513,0.3249745083381421
1996,winter,oisst,-0.5603252011441822,511,0.5804224976613951
1996,winter,oisst,-0.6368770597086987,512,0.5533732525279965
1996,winter,oisst,-0.8085859379161409,513,0.34956725412790496
1997,winter,oisst,-0.3718111081001086,511,0.38464051253926757
1997,winter,oisst,-0.3448492732024999,512,0.32790659604072947
1997,winter,oisst,-0.09228518373436398,513,0.24269505633741673
1998,winter,oisst,-0.7067683702860124,511,0.33011051486212556
1998,winter,oisst,-0.6295014347431165,512,0.4455674154466796
1998,winter,oisst,-0.39229906422120553,513,0.261623843728635
1999,winter,oisst,-0.7476572586939885,511,0.1836122735747896
1999,winter,oisst,-0.6430425040387877,512,0.19303543926124866
1999,winter,oisst,-0.4590629584811352,513,0.1484341968721374
2000,winter,oisst,1.452895375700795,511,0.19286596221240618
2000,winter,oisst,1.4835290094909632,512,0.16861698359133925
2000,winter,oisst,0.49372630842002757,513,0.3429035726839109
2001,winter,oisst,-0.012067529482719226,511,0.2273828373802532
